# English phrase completions
# Format: trigger_word1 trigger_word2 completion frequency
# When user types trigger words, suggest the full completion
# Frequency guide: very common = 450-500, common = 350-450, less common = 250-350

# ============================================================
# 1. Greetings & Small Talk
# ============================================================
how are you doing 500
how are you today 480
how are you feeling 460
how are things going 440
how are your parents 350
how is it going 480
how is everything going 460
how is your day 450
how is your family 400
how is life treating 380
how is your health 370
how is the weather 360
how is your work 370
how is the project 340
how do you do 450
how do you feel 430
how do you know 420
how do i look 380
how do we start 350
how did you find 380
how did it go 400
how did you get 370
how did that happen 360
what are you doing 480
what are you up to 470
what are you thinking 430
what are your plans 420
what are you working on 400
what are we having 360
what are the options 370
what is going on 470
what is your name 450
what is the problem 440
what is the plan 430
what is the matter 420
what is your opinion 380
what is the deadline 350
what is happening here 370
nice to meet you 500
nice to see you 480
nice to hear from 450
nice to talk to 430
nice to finally meet 400
nice to have you 390
good to see you 480
good to hear that 460
good to know that 440
good to be here 420
good to be back 410
good to have you 390
glad to hear that 430
glad to see you 420
glad to help you 380
glad you made it 370
pleased to meet you 430
pleased to announce that 370
pleased to inform you 360
long time no see 420
it has been a while 400

# ============================================================
# 2. Common Expressions
# ============================================================
thank you so much 500
thank you very much 490
thank you for your 480
thank you for everything 450
thank you for coming 430
thank you for helping 420
thank you for the 410
thank you for sharing 400
thank you for understanding 390
thank you in advance 380
i am going to 480
i am looking for 460
i am trying to 450
i am sorry for 440
i am happy to 430
i am glad to 420
i am not sure 470
i am afraid that 380
i am available for 370
i am willing to 360
i am interested in 400
i am planning to 390
i was wondering if 460
i was thinking about 440
i was going to 430
i was looking for 420
i was hoping to 410
i was told that 370
i was surprised by 350
i was able to 380
i have been to 400
i have been working 390
i have never seen 380
i have always wanted 370
i have no idea 430
i have a question 410
i have to admit 360
i have already done 350
i need to go 450
i need to know 440
i need some help 430
i need your help 420
i need more time 410
i need to talk 400
i need a break 380
i need to think 370
i want to know 450
i want to go 440
i want to see 430
i want to be 420
i want to make 410
i want to tell 400
i want you to 390
i think we should 460
i think it is 450
i think you should 440
i think that is 430
i think so too 420
i think about it 400
i think you are right 380
i don't know what 470
i don't think so 460
i don't want to 450
i don't care about 420
i don't have time 430
i don't understand why 410
i don't mind at all 380
i don't see the point 360
i can't believe it 450
i can't wait to 440
i can't stop thinking 410
i can't find the 400
i can't help it 390
i can't do this 380
i can't make it 370
we should go to 420
we should talk about 410
we should meet up 400
we should try to 390
we should figure out 380
we should probably leave 350
we need to talk 450
we need to go 430
we need to find 420
we need more time 400
we need your help 390
we need a plan 370
you should try to 420
you should go to 410
you should check out 400
you should talk to 390
you should come with 370
you should probably leave 340
you can do it 450
you can find it 420
you can have it 400
you can try again 390
you can always count 370
you can trust me 360
it was nice to 440
it was good to 430
it was great to 420
it was supposed to 400
it was meant to 390
it was hard to 380
it was really nice 370

# ============================================================
# 3. Professional / Email
# ============================================================
please let me know 480
please let us know 460
please let me check 420
