# Hardcoded context bonus rules extracted from predictor.cpp
# Format: prev2	prev1	cand	score
i	don't	know	260
i	don't	think	240
i	would	like	240
i	want	to	240
i	need	to	250
i	have	to	220
i	am	here	180
i	am	sure	170
i	am	happy	170
i	am	your	230
i	was	in	280
i	stayed	in	280
i	lived	in	280
i	went	to	280
i	love	you	280
i	love	watching	260
i	love	to	240
i	like	watching	270
i	like	to	240
i	like	watch	-120
i	miss	you	300
i	feel	like	250
i	feel	you're	-220
feel	like	you	220
feel	like	i	190
feel	like	this	170
i	hope	you	210
i	wish	you	200
i	can't	wait	260
thank	you	so	220
thank	you	for	200
thank	you	very	220
thank	you	my	-180
how	are	you	320
how	it	works	340
how	it	is	170
how	it	working	-360
how	this	works	320
how	to	use	300
how	to	do	260
how	to	fix	280
how	to	make	260
how	working	its	-520
how	working	it's	-520
where	are	you	300
what	are	you	300
what	is	your	220
why	are	you	260
why	did	you	250
can	you	help	210
could	you	please	320
would	you	mind	300
may	i	ask	320
can	you	please	250
i	would	like	300
would	like	to	280
do	you	know	260
you	know	how	230
know	how	it	260
are	you	okay	220
are	you	free	200
are	you	there	190
please	help	me	260
may	i	ask	320
my	i	ask	-320
ask	you	something	220
ask	a	question	320
ask	a	questions	-360
ask	a	quesadilla	-420
see	you	soon	220
see	you	later	220
miss	you	so	210
miss	you	too	190
talk	to	you	200
looking	for	you	170
looking	at	you	170
a	lot	of	260
a	lot	the	-180
one	of	the	240
there	is	a	220
there	is	no	210
there	is	are	-320
there	are	many	220
there	are	some	200
there	are	is	-320
in	manila	last	180
in	tokyo	last	180
in	london	last	180
in	paris	last	180
because	i	love	180
because	you	are	190
if	you	want	180
if	you	need	180
when	i	see	180
when	you	come	180
going	to	be	240
want	to	be	220
need	to	be	210
need	to	go	210
have	to	go	210
have	to	be	200
have	to	do	180
want	to	see	190
want	to	go	180
i'm	your	husband	300
i'm	your	wife	300
you	are	my	210
you	are	right	180
my	love	forever	210
my	life	forever	190
love	you	more	170
love	you	so	220
love	you	my	-180
very	much	for	140
so	much	for	140
good	morning	my	160
good	night	my	150
as	soon	as	230
in	the	morning	180
at	the	moment	180
what's	going	on	340
going	on	with	170
i	am	i'm	-400
i	i'm	am	-400
your	husband	are	-220
i	love	us	-220
i	was	stay	-420
was	stay	last	-420
